Название;Детальное описание;Максимальная цена;Ед. измерения;Доступность
Cветодиодный светильник BT овал 22Вт с ДД/6500K/IP65 (SBL-BT22-65ms);Светильник Smartbuy типа ВТ предназначен для работы в сложных эксплуатационных условиях. Главной отличительной чертой изделия является его исключительная влагостойкость IP65, что позволяет использовать его в банях, саунах, ванных комнатах. Часто прибор применяется для освещения промышленных объектов, лестничных клеток, фасадов различных зданий.;410.00;штука;нет
Cветодиодный светильник BT овал 22Вт/6500K/IP65 (SBL-BT22-65);"Cветодиодный светильник BT овал 22Вт/6500K/IP65 (SBL-BT22-65)

Датчик движения	Нет
Световой поток (лм)	1760
Мощность (Вт)	22
Питание	Сеть 220-230 В
Датчик аккустический	Нет
Цветовая температура	Холодный от 5501К
Влагозащищенность	IP65
Цоколь	Интегрированный
Тип источника света	Светодиодный
Размеры	200 х 82 х 41 мм
";270.00;штука;нет
DK LD1 BL  ЭРА декор cо светодиодной подсветкой, MR16 голубой;"Cветодиодный светильник Эра GU5.3 предназначен для акцентного освещения офисных и жилых помещений. Для подключения к сети 12 Вольт . Разнообразие вариантов цвета светильника позволяет лаконично дополнить интерьер на любой вкус. Cветильник DK LD1 имеет компактный современный дизайн. Наши светильники устойчивы к механическим воздействиям, сделают функциональными, комфортными и уютными помещения любых назначений.

Характеристики:
Драйвер: нет
Индекс цветопередачи: Нет
Класс защиты от поражения электрическим током: 3
Максимальная мощность лампы: 50Вт
Материал: Полимер, алюминий
Модель: DK LD1
Мощность подсветки: 3Вт
Наличие аллергенов и резких запахов: нет
Наличие категории ЛВЖ и ГЖ: нет
Напряжение питания: 12 Вольт
Размер отверстия: 65 мм
Размер светильника: 100 мм
Световой поток: нет
Светодиодная подсветка: да
Степень защиты: IP20
Цвет подсветки: белая
Цвет светильника: голубой
Цветовая температура: 4000К
Цоколь для источника света: GU5.3";159.00;штука;да
DK LD1 BR  ЭРА декор cо светодиодной подсветкой, MR16  коричневый;"Cветодиодный светильник Эра GU5.3 предназначен для акцентного освещения офисных и жилых помещений. Для подключения к сети 12 Вольт . Разнообразие вариантов цвета светильника позволяет лаконично дополнить интерьер на любой вкус. Cветильник DK LD1 имеет компактный современный дизайн. Наши светильники устойчивы к механическим воздействиям, сделают функциональными, комфортными и уютными помещения любых назначений.

Характеристики:
Драйвер: нет
Индекс цветопередачи: Нет
Класс защиты от поражения электрическим током: 3
Максимальная мощность лампы: 50Вт
Материал: Полимер, алюминий
Модель: DK LD1
Мощность подсветки: 3Вт
Наличие аллергенов и резких запахов: нет
Наличие категории ЛВЖ и ГЖ: нет
Напряжение питания: 12 Вольт
Размер отверстия: 65 мм
Размер светильника: 100 мм
Световой поток: нет
Светодиодная подсветка: да
Степень защиты: IP20
Цвет подсветки: белая
Цвет светильника: коричневый
Цветовая температура: 4000К
Цоколь для источника света: GU5.3";360.00;штука;нет
DK LD1 PK  ЭРА декор cо светодиодной подсветкой, MR16 розовый;"Cветодиодный светильник Эра GU5.3 предназначен для акцентного освещения офисных и жилых помещений. Для подключения к сети 12 Вольт . Разнообразие вариантов цвета светильника позволяет лаконично дополнить интерьер на любой вкус. Cветильник DK LD1 имеет компактный современный дизайн. Наши светильники устойчивы к механическим воздействиям, сделают функциональными, комфортными и уютными помещения любых назначений.

Характеристики:
Драйвер: нет
Индекс цветопередачи: Нет
Класс защиты от поражения электрическим током: 3
Максимальная мощность лампы: 50Вт
Материал: Полимер, алюминий
Модель: DK LD1
Мощность подсветки: 3Вт
Наличие аллергенов и резких запахов: нет
Наличие категории ЛВЖ и ГЖ: нет
Напряжение питания: 12 Вольт
Размер отверстия: 65 мм
Размер светильника: 100 мм
Световой поток: нет
Светодиодная подсветка: да
Степень защиты: IP20
Цвет подсветки: белая
Цвет светильника: розовый
Цветовая температура: 4000К
Цоколь для источника света: GU5.3";360.00;штука;нет
DK LD1 WH  ЭРА декор cо светодиодной подсветкой, MR16 прозрачный;"Превосходная модель DK LD1 WH ЭРА относится к коллекции LED и отлично подойдет для установки и врезки в потолок и стену спальни, оформленной в стиле модерн. Встраиваемый светильник ЭРА LED DK LD1 WH с круглыми плафонами осветит помещение площадью 3 кв. м. Производитель ЭРА рекомендует использовать для устройства светодиодные лампы с цоколем GU5.3 и мощностью 50 W. Прибор произведен с использованием материалов: пластик и алюминий. Основным цветом товара является хромовый.

";171.00;штука;нет
DK LD10 SL OR/WH  ЭРА декор cо светодиодной подсветкой MR16, прозрачный оранжевый;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Ширина/диаметр врезного отверстия	65 мм
Ширина	9.5 см
Материал плафона	акрил
Материал арматуры	металл, акрил
Особенности	возможность подключения диммера
Вид ламп	галогенные
Мощность	50 Вт";225.00;штука;нет
DK LD13 SL RGB/WH  ЭРА декор cо светодиодной подсветкой MR16, мультиколор;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики
Вес, гр:200
Мощность, Вт (Вт/м):50
Объем, м .куб.:0.00055125
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Мульти
Степень защиты:IP20
Срок службы:Не ограничен
Тип лампы:MR16
Размеры ДхШхВ, мм:100x30
Модель:Dk ld13 sl rgb/wh
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16, мощность мах 50W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Цвет подсветки:Белая
С подсветкой:3W";355.00;штука;нет
DK LD14 SL/WH  ЭРА декор cо светодиодной подсветкой MR16, прозрачный;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:220
Мощность, Вт (Вт/м):50
Объем, м .куб.:0.000599
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Прозрачный
Степень защиты:IP20
Срок службы:Не ограничен
Тип лампы:MR16
Размеры ДхШхВ, мм:98x30
Модель:Dk ld14 sl/wh
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16, мощность мах 50W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Цвет подсветки:Белая
С подсветкой:3W";400.00;штука;нет
DK LD16 PK/WH  ЭРА декор cо светодиодной подсветкой MR16, розовый;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Бренд	Эра
Наименование товара производителя	DK LD16 PK/WH Точечные светильники ЭРА декор cо светодиодной подсветкой MR16, розовый
Гарантийный срок	1 год
Произведено	Китай, Российская Федерация
Способ монтажа	Встраиваемый (-ая)
Источник света	Низковольтная галогенная лампа
Цоколь (патрон) лампы	GU5.3
Мощность лампы	50 Вт";360.00;штука;нет
