Название;Детальное описание;Максимальная цена;Ед. измерения;Доступность
Вилка с выключателем с/з белая 16A ЭРА Vx5-W Vx5 Б0039675;"Вилка штепсельная ЭРА с заземлением, максимальная мощность - 16 A/3500 В (кабель до 3x1.5мм2), ABS-пластик

Характеристики 
Кабельные вилки и розетки
Производитель ЭРА (Энергия света)
Серия 1693127
Степень защиты (IP) IP20
Материал Пластик
Цвет Белый
Модель/исполнение С заземляющим контактом
Номин. ток 16 А
Ориентация (угол) подключения Прямолинейн.
Количество полюсов 2";115.00;штука;нет
Вилка с кольцом В16-363 Bylectrica (120);"Вилка штепсельная с заземляющим контактом В16-363 от белорусского бренда Bylectrica предназначена для разъёмного подключения различных электроприборов к сети питания 220 В.
Разборный корпус изделия белого цвета, выполнен из ударопрочного и негорючего материала, стойкого к механическим воздействиям. Вилка оснащена латунными токопроводящими контактами и заземлением, прижимной пластиной для фиксации проводов.
Изделие имеет боковой подвод кабеля и вспомогательное откидное кольцо. Используются как для замены повреждённых вилок, так и для производства сетевых удлинителей и переносок.";70.00;штука;нет
Вилка с кольцом с/з белая 16А 250В Smartbuy (SBE-16-P03-w);Изделия выполнены из АБС-пластика. Штифты вилок никелированные, латунные. Штифты и токоведущие элементы внутри корпуса вилки зафиксированы в термостойком негорючем пластике. Все вилки оснащены прижимными планками для фиксации провода. Крепежные элементы контактных групп штепсельных вилок и розеток позволяют подключать провод с сечением от 0,5 мм<sup>2</sup> до 2,5 мм<sup>2</sup>. ;70.00;штука;да
Вилка с кольцом с/з черная 16А 250В Smartbuy (SBE-16-P03-b);Изделия выполнены из АБС-пластика. Штифты вилок никелированные, латунные. Штифты и токоведущие элементы внутри корпуса вилки зафиксированы в термостойком негорючем пластике. Все вилки оснащены прижимными планками для фиксации провода. Крепежные элементы контактных групп штепсельных вилок и розеток позволяют подключать провод с сечением от 0,5 мм2 до 2,5 мм2;70.00;штука;да
Вилка с ушком В16-336 Bylectrica (90);"Вилка электрическая угловая с заземлением и кольцом Bylectrica В16-336, с боковым подводом провода, без провода (кабеля) в комплекте. Корпус выполнен из пластика белого цвета и защищен по IP20.
Используется для подключения электроприбора к питающей сети. Может использоваться для подключения электроприбора к розетке в труднодоступных местах.
	
Возможности:
- Круглая ручка, для удобства использования.
- Боковой подвод провода.
- Уровень защиты от пыли и влаги IP20 - для сухих и непыльных помещений.
- Заземляющие контакты.";67.00;штука;нет
Вилка силовая 013 2Р+РЕ 16А 220В IP44 TDM SQ0601-0001;Вилка 013 2Р+РЕ TDM SQ0601-0001 подходит для эксплуатации внутри и снаружи помещений с целью подключения стационарного и мобильного электрооборудования. Корпус модели выполнен из нетоксичного пластика, обеспечивающего электрическую изоляцию и высокую прочность. Штыревые контакты и розеточные узлы не подвержены коррозии. Степень защиты IP44 позволяет использовать изделие в условиях повышенной влажности. Габаритные размеры - 140х44х58 мм. Температура эксплуатации - от -25 до +40 градусов.;143.00;штука;нет
Вилка силовая 014 3Р+РЕ 16А 380В IP44 TDM SQ0601-0002;Вилка 014 3Р+РЕ TDM SQ0601-0002 используется как внутри помещений, так и снаружи совместно с мобильным или стационарным электрооборудованием. Корпус изделия изготовлен из пластика (полиамид РА6.6), который обеспечивает высокую ударную прочность и хорошую электрическую изоляцию. Никелиевое покрытие штыревых контактов и розеточных узлов защищает их от коррозии. Важным преимуществом является возможность эксплуатации во влажной среде. Габаритные размеры модели - 140х49х62 мм. Диапазон рабочих температур - от -25 до +40 градусов.;144.00;штука;нет
Вилка силовая 015 3Р+РЕ+N 16А 380В IP44 TDM SQ0601-0003;Вилка 015 TDM SQ0601-0003 служит для использования как внутри помещений, так и на открытом воздухе, например, на строительных площадках, в промышленных цехах и т.д. Изделие служит для подключения электрооборудования и электроинструмента мобильного (кабельной системы питания) или стационарного типа (однофазного и трехфазного исполнения).;380.00;штука;нет
Вилка силовая 023 2Р+РЕ 32А 220В IP44 TDM SQ0601-0004;Вилка 023 TDM SQ0601-0004 позволяет подключать мобильные или стационарные электроустройства как на открытых площадках, так и внутри помещений. Изделие широко применяется для питания строительного оборудования, промышленных станков и т.д.;199.00;штука;нет
Вилка силовая 024 3Р+РЕ 32А 380В IP44 TDM SQ0601-0005;Вилка 024 TDM SQ0601-0005 подходит для использования внутри и снаружи помещений. Изделие служит для подключения мобильного и стационарного электрооборудования кабельной системы питания или однофазного / трехфазного исполнения.;450.00;штука;да
Вилка силовая 025 3Р+РЕ+N 32А 380В IP44 TDM SQ0601-0006;Вилка 025 TDM SQ0601-0006 предназначена для эксплуатации как внутри помещений, так и на открытом воздухе вместе с мобильным или стационарным строительным электрооборудованием и электроинструментом, станками и другими промышленными установками.;410.00;штука;нет
Вилка силовая 034 3Р+РЕ 63А 380В IP54 TDM SQ0601-0007;Вилка 034 TDM SQ0601-0007 подходит для использования внутри и снаружи помещений совместно с мобильными или стационарными электроустановками. Вилка позволяет подключать строительную технику, промышленные станки и другое силовое оборудование.;1500.00;штука;нет
Вилка силовая 035 3Р+РЕ+N 63А 380В IP54 TDM SQ0601-0008;Вилка 035 TDM SQ0601-0008 применяется как внутри, так и снаружи помещений на открытых площадках, например, в промышленных цехах, на стройках и т.д. Изделие позволяет подключать и мобильные, и стационарные силовые электрические установки.;1600.00;штука;нет
Вилка силовая 32А 250В 2Р+РЕ белая TDM SQ1812-0007;"Силовая вилка от компании ТДМ предназначена для подключение однофазных электрических плит, варочных панелей различных модификаций и приборов малой и большой мощности до 7 кВт. Разъем выполнен из белого пластика, имеет степень защиты IP20, контактная группа расчитана на номинальную нагрузку 32 Ампера
Номинальное напряжение: 230 Вольт
Номинальная нагрузка: 32 А
Количество контактов: 3
Материал: пластик
Цвет: белый
Применение
Подключение электрических плит, варочных панелей различных модификаций и прочих приборов мощностью до 7360 Вт.
Материалы
Материал корпуса – негорючий АБС-пластик
Медная контактная группа
Преимущества
Контактная группа имеет антиразжимную конструкцию.
Возможность отгрузки вилок и розеток не в комплекте.";210.00;штука;да
Вилка силовая 32А 3P+PE+N 380В IP44 ССИ-025 IEK PSR02-032-5;"Силовые штепсельные разъемы незаменимы при эксплуатации внутри помещений и на открытом воздухе совместно с мобильным электрооборудованием с кабельной системой питания и стационарным электрооборудованием однофазного и трехфазного исполнения. Подходят для подключения строительного электрооборудования и электроинструмента, станков и другого промышленного оборудования, для электроснабжения бытовок и киосков, для использования в гостиницах, домах отдыха, турбазах и т.д.
Бренд: IEK
Наименование товара производителя: Вилка перенос. ССИ-025 32А-6ч 380В 3P+PE+N IP44 IEK
Артикул производителя: PSR02-032-5
Гарантийный срок: 5 лет
Страна происхождения: Китай, Российская Федерация
Количество полюсов: 5
Максимальная сила тока: 32 А
Степень защиты IP: IP44
Напряжение в соответствии с EN 60309-2 и цвет: 400 В (50+60 Гц) красная
Кабельный ввод: Уплотнительная гайка
Материал: Пластик
Способ подключения: Винтовая клемма
Военное исполнение: Нет";355.00;штука;нет
Вилка силовая переносная 013 2P+РE 16А 220V EKF IP44 ps-013-16-220;"Силовые штепсельные разъемы предназначаются для подключения мобильного или стационарного электрооборудования к сети переменного тока частотой 50 Гц с напряжением 220 или 380 В. Разъемы применяются для обеспечения электропитания промышленного и строительного электрооборудования и электроинструмента, передвижных магазинов и точек питания и т. п. Соответствуют стандарту CEE.
Описание
В ассортимент продукции EKF входит широкий спектр силовых разъемов различного назначения. Силовые разъемы EKF – это стационарные и переносные вилки и розетки с номиналом 16, 32, 63 или 125 А. Данный вид разъемов соответствует стандарту CEE (IEC60309) и предназначен для подключения высокомощного промышленного и строительного оборудования. Также применяется для подключения мобильных пунктов питания, жилых трейлеров и т.д. Серия каучуковых силовых разъемов EKF включает в себя переносные вилки, розетки и колодки, предназначенные для организации питания от однофазной сети в условиях повышенной влажности и загрязненности. Они могут применятся в промышленности, на приусадебных участках, открытых рынках. Промышленные силовые разъемы EKF PROxima представлены стационарными и переносными розетками и вилками со степенью защиты IP67. Промышленные разъемы применяются там, где необходима повышенная надежность оборудования или присутствует агрессивное воздействие влаги и пыли. Кроме того, компания EKF предлагает разъемы РШ-ВШ, с помощью которых можно подсоединять оборудование мощностью до 7 кВт, например, электрические плиты и варочные панели.
Применение
• Обеспечение электропитания промышленного и строительного оборудования.
• Подключение к электрической сети передвижных магазинов,точек питания, мобильных инфраструктурных объектов и т.п.
• Электроснабжение различных потребителей в условиях повышенной влажности, запыленности.";195.00;штука;нет
Вилка силовая переносная 014 3P+РE 16А 380V EKF IP44 ps-014-16-380;Силовые штепсельные разъемы предназначаются для подключения мобильного или стационарного электрооборудования к сети переменного тока частотой 50 Гц с напряжением 220 или 380 В. Разъемы применяются для обеспечения электропитания промышленного и строительного электрооборудования и электроинструмента, передвижных магазинов и точек питания и т. п. Соответствуют стандарту CEE.;205.00;штука;нет
Вилка силовая переносная 015 3P+РE+N 16А 380V EKF IP44 ps-015-16-380;Силовые штепсельные разъемы предназначаются для подключения мобильного или стационарного электрооборудования к сети переменного тока частотой 50 Гц с напряжением 220 или 380 В. Разъемы применяются для обеспечения электропитания промышленного и строительного электрооборудования и электроинструмента, передвижных магазинов и точек питания и т. п. Соответствуют стандарту CEE.;320.00;штука;нет
Вилка силовая переносная 023 2P+РE 32А 220V EKF IP44 ps-023-32-220;Силовые штепсельные разъемы предназначаются для подключения мобильного или стационарного электрооборудования к сети переменного тока частотой 50 Гц с напряжением 220 или 380 В. Разъемы применяются для обеспечения электропитания промышленного и строительного электрооборудования и электроинструмента, передвижных магазинов и точек питания и т. п. Соответствуют стандарту CEE.;280.00;штука;нет
Вилка силовая переносная 024 3P+РE 32А 380V EKF IP44 ps-024-32-380;Силовые штепсельные разъемы предназначаются для подключения мобильного или стационарного электрооборудования к сети переменного тока частотой 50 Гц с напряжением 220 или 380 В. Разъемы применяются для обеспечения электропитания промышленного и строительного электрооборудования и электроинструмента, передвижных магазинов и точек питания и т. п. Соответствуют стандарту CEE.;212.00;штука;нет
Вилка силовая переносная 025 3P+РE+N 32А 380V EKF IP44 ps-025-32-380;Силовые штепсельные разъемы предназначаются для подключения мобильного или стационарного электрооборудования к сети переменного тока частотой 50 Гц с напряжением 220 или 380 В. Разъемы применяются для обеспечения электропитания промышленного и строительного электрооборудования и электроинструмента, передвижных магазинов и точек питания и т. п. Соответствуют стандарту CEE.;345.00;штука;нет
Вилка угловая 16A 2P+PE 220-240В каучук LEZARD 106-0400-0108/108;Вилка угловая 16А 2P+PE 220-240В каучук LEZARD 106-0400-0108/108 - это качественный и надежный продукт от производителя LEZARD. Артикул 106-0400-0108/108 является уникальным и позволяет легко идентифицировать эту вилку среди других моделей. Данная вилка предназначена для использования в сетях напряжением 220-240В с током до 16А. Она обладает угловым исполнением, что позволяет удобно подключать электроприборы в узких и труднодоступных местах. Вилку можно использовать в различных сферах, таких как домашнее хозяйство, офисы и промышленные помещения. Благодаря качественным материалам и прочной конструкции, вилка обеспечивает надежное и безопасное подключение к электросети.;135.00;штука;нет
Вилка угловая 16А IP44 черн. ЭРА Б0044542;"Технические характеристики ЭРА V9BIP44 с/з, 90 градусов 16A, IP44, черная Б0044542
Напряжение сети: 220 В
Max нагрузка (Вт): 3500
Номинальная сила тока: 16 А
Материал корпуса: каучук
Выключатель на корпусе: нет
Степень защиты: IP44
Световая индикация: нет
Цвет: черный
Заземление: есть
Тип: вилка Schuko
Форма: угловая
Кольцо извлечения: нет";125.00;штука;нет
Вилка угловая c/з 16А 250В белая TOKOV ELECTRIC TKL-PLUZ-C01;"Электрическая вилка – это устройство, предназначенное для подключения электрических приборов к сети питания. Основное преимущество разборной вилки заключается в возможности её разборки, что упрощает процесс ремонта, замены кабеля или изменения конфигурации подключения. Изготавливается из высококачественного пластика или термостойкого материала, обеспечивающего надежную изоляцию и защиту от внешних воздействий. Внутри корпуса размещены клеммные колодки, к которым крепятся провода. Эти клеммы имеют винтовое соединение для надежного удержания проводов.

Характеристики:
Номинальное напряжение - 230 В
Номинальный ток - 16 А
Количество полюсов - 2Р+З
Ввод - боковой
Корпус - пластик
Цвет - белый";59.00;штука;нет
Вилка угловая c/з 16А 250В черная TOKOV ELECTRIC TKL-PLUZ-C05;"Электрическая вилка – это устройство, предназначенное для подключения электрических приборов к сети питания. Основное преимущество разборной вилки заключается в возможности её разборки, что упрощает процесс ремонта, замены кабеля или изменения конфигурации подключения. Изготавливается из высококачественного пластика или термостойкого материала, обеспечивающего надежную изоляцию и защиту от внешних воздействий. Внутри корпуса размещены клеммные колодки, к которым крепятся провода. Эти клеммы имеют винтовое соединение для надежного удержания проводов.

Характеристики:
Номинальное напряжение - 230 В
Номинальный ток - 16 А
Количество полюсов - 2Р+З
Ввод - боковой
Корпус - пластик
Цвет - черный";53.00;штука;нет
Вилка угловая б/з белая 10А 250В (евровилка CEE 7/16) TDM SQ1806-0090;Евро вилка CEE 7/16, белая, угловой вывод проводника TDM SQ1806-0090 поставляется в индивидуальной упаковке с информационным стикером. Используется в жилых, общественных и административных помещениях с целью присоединения/разъединения к сети бытовых электроприборов. Надежна и безопасна в использовании благодаря корпусу из самозатухающего АБС-пластика. Невосприимчива к воздействию солнечных лучей. Вывод проводника - угловой. При повреждении разборной вилки можно легко произвести ремонт электрического шнура. Диапазон рабочих температур - от 0 до +35 градусов. Размеры изделия - 45х35х14 мм.;33.00;штука;нет
Вилка угловая б/з В6-241 Bylectrica (120);"Технические характеристики BYLECTRICA с боковым подводом провода В6-241
Напряжение сети: 220 В
Max нагрузка (Вт): 1300
Номинальная сила тока: 6 А
Выключатель на корпусе: нет
Степень защиты: IP20
Световая индикация: нет
Цвет: белый
Заземление: нет
Модельный ряд: В6
Тип: вилка Schuko
Форма: угловая
Кольцо извлечения: нет";47.00;штука;нет
Вилка угловая каучуковая 230В 16A IP44 EKF PRO RPS-017-16-230-44-r;Каучуковые силовые разъемы EKF обладают высокими электроизоляционными свойствами, износостойкостью, ударопрочностью, а также устойчивостью к температурным колебаниям. Основные сферы применения таких разъемов – строительные и производственные площадки, машиностроение, электроснабжение бытовок и киосков, а также использование на даче или приусадебном участке, то есть во всех случаях, когда предъявляются повышенные требования к надежности и защищенности электрического соединения.В ассортименте EKF есть простые и надежные разъемы серии Basic и профессиональные разъемы с улучшенными характеристиками серии Proxima.;170.00;штука;нет
Вилка угловая каучуковая 230В, 2P+PE, 16A, IP44 Smartbuy (SBE-16-P09-R);"
Технические характеристики Smartbuy 230В, 2P+PE, 16A, IP44 SBE 16-P09-R
Напряжение сети, В 220
Max нагрузка (Вт) 3500
Номинальная сила тока, А 16
Материал корпуса каучук
Выключатель на корпусе нет
Степень защиты IP44
Световая индикация нет
Цвет черный
Заземление есть
Тип вилка Schuko
Форма угловая
Кольцо извлечения нет
Вес нетто, кг 0,035";125.00;штука;да
Вилка угловая плоская (8 мм) белая 16А 250В TDM SQ1806-0193;"Вилка угловая плоская (8 мм) белая 16А 250В TDM SQ1806-0193
Электрические разборные штепсельные вилки предназначены для присоединения (разъединения) к электрической сети различных электрических приборов бытового назначения мощностью до 4 кВт. Позволяют произвести ремонт электрошнура в случае выхода из строя или повреждения неразборной вилки. Большой выбор различных моделей, как с прямым, так и с боковым вводом, позволяет сделать подключение провода наиболее удобным для применения способом. Вилка с выключателем позволяет включать (выключать) нагрузку не вынимая вилку из розетки.

Характеристики
Тип изделия	Штепсельная вилка
Номинальное напряжение	250 В
Номинальный ток	16 А
Частота	50 Гц
Цвет	Белый
Заземление	Нет
Степень защиты IP	IP20
Материал корпуса	АБС-пластик
Гарантийный срок	З года
Производитель	TDM";110.00;штука;нет
Вилка угловая с кольцом каучуковая 230В 16A IP44 EKF RPS-017-16-230-44;Каучуковые силовые разъемы EKF обладают высокими электроизоляционными свойствами, износостойкостью, ударопрочностью, а также устойчивостью к температурным колебаниям. Основные сферы применения таких разъемов – строительные и производственные площадки, машиностроение, электроснабжение бытовок и киосков, а также использование на даче или приусадебном участке, то есть во всех случаях, когда предъявляются повышенные требования к надежности и защищенности электрического соединения.В ассортименте EKF есть простые и надежные разъемы серии Basic и профессиональные разъемы с улучшенными характеристиками серии Proxima.;125.00;штука;нет
Вилка угловая с кольцом каучуковая 230В, 2P+PE, 16A, IP44 Smartbuy (SBE-16-P08-R);"Технические характеристики Smartbuy 230В, 2P+PE, 16A, IP44 SBE-16-P08-R
Напряжение сети, В 220
Max нагрузка (Вт) 3500
Номинальная сила тока, А 16
Материал корпуса каучук
Выключатель на корпусе нет
Степень защиты IP44
Световая индикация нет
Цвет черный
Заземление есть
Тип вилка Schuko
Форма прямая
Кольцо извлечения есть
Вес нетто, кг 0,055";135.00;штука;да
Вилка угловая с ушком с/з каучуковая 2Р+РЕ 16А 250В IP44 TDM SQ0612-0004;Силовые разъемы из пластика предназначены для подключения мобильного или стационарного электрооборудования к сети переменного тока частотой 50 Гц с напряжением 230 или 400 В. Применяются для эксплуатации внутри помещений и на открытом воздухе совместно с мобильным электрооборудованием кабельной системы питания и стационарным электрооборудованием однофазного и трехфазного исполнения, для подключения строительного электрооборудования и электроинструмента, станков и другого промышленного оборудования, для электроснабжения бытовок и киосков и т.д. Корпус, изолирующие детали и несущие токоведущие части, выполнены из термостойких и самозатухающих материалов. Возможность эксплуатировать во влажной среде (степень защиты IP44, IP54). Винты, применяемые для механических и электротехнических соединений, защищены от самоотвинчивания и от коррозии. Крышки защищают от попадания внутрь разъема пыли и влаги. Специальный сальник для кабеля различного сечения. Предусмотрено пространство для размещения кабеля. Штыревые контакты и розеточные узлы покрыты никелем для защиты от коррозии.;170.00;штука;нет
Вилка угловая с/з 16 А 250В Smartbuy SBE-16-P02-w (не использовать);"Номинальное напряжение: 250 В; Частота: 50 Гц; Номинальный ток: 16 А; Материал корпуса: АБС-пластик; Климатическое исполнение: УХЛ-3; Степень защиты от влаги и пыли: IP-20; Цвет: белый.";45.00;штука;нет
Вилка угловая с/з 16А 250В каучук TOKOV ELECTRIC TKE-C05-KVU-Z;"Вилка электрическая представляет собой устройство для подключения электрических приборов к сети электропитания. Корпус изготовлен из прочного и гибкого каучука, который обеспечивает высокую степень защиты и долговечность. Каучук устойчив к механическим повреждениям, ударам и падениям, а также к воздействию влаги и пыли. И обладает отличными диэлектрическими свойствами, что снижает риск поражения электрическим током. Кроме того, каучук не поддерживает горение, что повышает общую пожаробезопасность устройства.

Вилка рассчитана на напряжение до 250 Вольт и силу тока до 16 Ампер, обычно указываемые на корпусе.

Подходит для использования в условиях, требующих повышенной прочности и надежности, таких как строительные площадки, мастерские, промышленное оборудование и т.д. Также используется в быту для подключения бытовой техники, требующей усиленной защиты от внешних воздействий.";160.00;штука;нет
Вилка угловая с/з белая 16А 250В (еврослот) UNIVersal А105;Угловая вилка с заземлением, белая 16А 250В UNIVersal А105 предназначена для сбора удлинителей, кабелей, замены вышедших из строя старых вилок у различных электроприборов и т.д. Изделие обладает надежной конструкцией из пластика, которая имеет возможность разборки. Контакты - цельные, выполнены из латуни.;66.00;штука;нет
Вилка угловая с/з белая 16А 250В (еврослот) UNIVersal А112;Угловая вилка с ушком, с заземлением, белая 16А 250В UNIVersal А112 служит для присоединения разнообразных приборов бытового класса к сети переменного тока до 250 В. Разборная вилка предназначена для замены сломанной или для сбора удлинителей, светильников и пр.;74.00;штука;нет
Вилка угловая с/з белая 16А 250В Smartbuy (SBE-16-P02-w);Изделия выполнены из АБС-пластика. Штифты вилок никелированные, латунные. Штифты и токоведущие элементы внутри корпуса вилки зафиксированы в термостойком негорючем пластике. Все вилки оснащены прижимными планками для фиксации провода. Крепежные элементы контактных групп штепсельных вилок и розеток позволяют подключать провод с сечением от 0,5 мм2 до 2,5 мм2.;63.00;штука;да
Вилка угловая с/з белая 16А 250В TDM SQ1806-0407;"Вилка угловая с/з белая 16А 250В TDM SQ1806-0007
Электрические разборные штепсельные вилки предназначены для присоединения (разъединения) к электрической сети различных электрических приборов бытового назначения мощностью до 4 кВт. Позволяют произвести ремонт электрошнура в случае выхода из строя или повреждения неразборной вилки. Большой выбор различных моделей, как с прямым, так и с боковым вводом, позволяет сделать подключение провода наиболее удобным для применения способом. Вилка с выключателем позволяет включать (выключать) нагрузку не вынимая вилку из розетки.

Характеристики
Тип изделия	Штепсельная вилка
Номинальное напряжение	250 В
Номинальный ток	16 А
Частота	50 Гц
Цвет	Белый
Заземление	Есть
Степень защиты IP	IP20
Материал корпуса	АБС-пластик
Гарантийный срок	З года
Производитель	TDM";49.00;штука;нет
Вилка угловая с/з белая 16А 250В Universal А105 (не использовать);Угловая вилка с заземлением, белая 16А 250В UNIVersal А105 предназначена для сбора удлинителей, кабелей, замены вышедших из строя старых вилок у различных электроприборов и т.д. Изделие обладает надежной конструкцией из пластика, которая имеет возможность разборки. Контакты - цельные, выполнены из латуни.;49.00;штука;нет
Вилка угловая с/з с выключателем белая 16А 250В TDM SQ1806-0009;"Электрические разборные штепсельные вилки предназначены для присоединения (разъединения) к электрической сети различных электрических приборов бытового назначения мощностью до 4 кВт. Позволяют произвести ремонт электрошнура в случае выхода из строя или повреждения неразборной вилки. Большой выбор различных моделей, как с прямым, так и с боковым вводом, позволяет сделать подключение провода наиболее удобным для применения способом. Вилка с выключателем позволяет включать (выключать) нагрузку не вынимая вилку из розетки.
";99.00;штука;нет
Вилка угловая с/з с ушком белая 16А 250В TDM SQ1806-0005;"Электрические разборные штепсельные вилки предназначены для присоединения (разъединения) к электрической сети различных электрических приборов бытового назначения мощностью до 4 кВт. Позволяют произвести ремонт электрошнура в случае выхода из строя или повреждения неразборной вилки. Большой выбор различных моделей, как с прямым, так и с боковым вводом, позволяет сделать подключение провода наиболее удобным для применения способом. Вилка с выключателем позволяет включать (выключать) нагрузку не вынимая вилку из розетки.
Характеристики:
Тип изделия: Штепсельная вилка
Номинальное напряжение: 250 В
Номинальный ток: 16 А
Частота: 50 Гц
Цвет: Белый
Заземление: Есть
Степень защиты IP: IP20
Материал корпуса: АБС-пластик
Гарантийный срок: З года
Производитель:TDM";82.00;штука;нет
Вилка угловая с/з с ушком черная 16А 250В TDM SQ1806-0006;"Электрические разборные штепсельные вилки предназначены для присоединения (разъединения) к электрической сети различных электрических приборов бытового назначения мощностью до 4 кВт. Позволяют произвести ремонт электрошнура в случае выхода из строя или повреждения неразборной вилки. Большой выбор различных моделей, как с прямым, так и с боковым вводом, позволяет сделать подключение провода наиболее удобным для применения способом. Вилка с выключателем позволяет включать (выключать) нагрузку не вынимая вилку из розетки.

";99.00;штука;нет
Вилка угловая с/з с ушком черная 16А 250В Народная TDM SQ1806-0406;"Электрические разборные штепсельные вилки предназначены для присоединения (разъединения) к электрической сети различных электрических приборов бытового назначения мощностью до 4 кВт.

Позволяют произвести ремонт электрошнура в случае выхода из строя или повреждения неразборной вилки.
Большой выбор различных моделей, как с прямым, так и с боковым вводом, позволяет сделать подключение провода наиболее удобным для применения способом.
Вилка с выключателем позволяет включать (выключать) нагрузку не вынимая вилку из розетки.";55.00;штука;нет
